,num
0,1697953547
1,1478560917
2,36898390
3,1938388889
4,1328310071
5,1289060635
6,1340287603
7,1717173178
8,37800796
9,37573076
10,1382577279
11,1870857815
12,1488570716
13,1697953547
14,1314465754
15,1171408490
16,1248964884
17,1360013408
18,1550707819
19,1803980882
20,1891061452
21,37578246
22,1938388889
23,1314465754
24,1255367612
25,35039452
26,38476486
27,16891414
28,1565115501
29,1059563753
30,38414673
31,1126427625
32,1831636903
33,1988659548
34,1927262895
35,842405543
36,31383193
37,36803863
38,19344844
39,1012327599
40,1698530659
41,1715846452
42,1071440780
43,1478560917
44,1200246278
45,1636097931
46,37646528
47,279027473
48,1191178814
49,1236140244
50,1598088955
51,1314465754
52,1129828691
53,1344903580
54,407289738
55,19841459
56,38338886
57,1019156875
58,1537714477
59,1942744460
60,1579676147
61,1598088955
62,37441608
63,1038897834
64,1762809074
65,1607615492
66,1375427531
67,1075041446
68,36734016
69,1197163549
70,31289809
71,1024964100
72,1171408490
73,1988659548
74,32472994
75,1921792347
76,1573082468
77,1816347125
78,1917361881
79,1420266277
80,1065325726
81,1420607611
82,1175749931
83,1220440020
84,11596025
85,37489492
86,1762853232
87,1199734027
88,1184038199
89,1971874613
90,1187488980
91,652469850
92,32689164
93,1217821797
94,1276021292
95,1233591680
96,1321047087
97,1394359342
98,1794921091
99,1955839524
100,1988659548
101,1598088955
102,1008522190
103,21645057
104,1435583934
105,1023706823
106,1067663771
107,11884944
108,36883768
109,1115183485
110,650524350
111,1158096384
112,1522865820
113,1252283766
114,68498064
115,16873675
116,1143901381
117,1633859359
118,1767725175
119,1236399605
120,1942735639
121,1473664300
122,1938388889
123,1171408490
124,1681537017
125,1490069066
126,37160990
127,1113101357
128,1134910139
129,1197231236
130,1108893848
131,1060964958
132,1852706713
133,1870238135
134,1226954059
135,20975300
136,1746352739
137,1497728565
138,1557905399
139,36826146
140,37026097
141,1907548838
142,1448749216
143,1280030612
144,1930478669
145,1900600319
146,1831383456
147,1395267103
148,32517800
149,1667456609
150,1938388889
151,1672809437
152,1146587587
153,1043266432
154,1169527224
155,1318119768
156,1588721520
157,1244483693
158,1707171928
159,352592710
160,1066980678
161,16891161
162,1990803714
163,939973048
164,20570202
165,37989701
166,1777285616
167,1520434568
168,1566226003
169,1004246914
170,32038140
171,1172577397
172,1465095767
173,1993908460
174,1695785670
175,1831800401
176,1671313135
177,1410781888
178,1906754269
179,1257024215
180,488131000
181,1125702528
182,1746101064
183,37811965
184,1019146691
185,1864254226
186,1340355863
187,1271783204
188,1690708276
189,17038917
190,1022636949
191,1430098109
192,1445395584
193,1924152099
194,1785870315
195,1451952939
196,760748261
197,16890904
198,1175819811
199,1029514743
200,1085921628
201,1860738776
202,1374698080
203,1548532562
204,1253390682
205,1560764489
206,1565713915
207,38591361
208,1393083904
209,1568089365
210,1534298296
211,32169315
212,31523497
213,1707522711
214,16891570
215,16890044
216,16890200
217,16890248
218,19388987
219,1940163798
220,1774181030
221,1785767072
222,37584676
223,1743063846
224,1408195427
225,1877913144
226,1959134416
227,1241961003
228,1068902244
229,1081221592
230,38736308
231,16889909
232,1402505987
233,1532141447
234,1701686998
235,1523836239
236,1008387599
237,19568593
238,1442975235
239,13467780
240,1891274080
241,16890077
242,1081013432
243,1853242464
244,1230375234
245,1827431143
246,1820466615
247,37207774
248,878972876
249,1213968423
250,1300612228
251,1723866800
252,1033387829
253,19980022
254,1975964080
255,1801623369
256,1804181469
257,949179708
258,1934250491
259,1276143878
260,17040683
261,1833197048
262,906050606
263,16890173
264,1339328924
265,1368990129
266,36184529
267,1145604226
268,1859539639
269,1397390705
270,77816116
271,720195220
272,1701344650
273,1367984919
274,1184086993
275,1244326126
276,16889809
277,1564787686
278,1616758462
279,1917340287
280,1630365575
281,1049899845
282,1258619982
283,1048962979
284,1269024516
285,1427047850
286,1812791521
287,1193025209
288,1786912991
289,1834423504
290,1692596897
291,1005196455
292,1609480914
293,1025477872
294,1374748673
295,1991673646
296,1146111020
297,1623433552
298,1359431066
299,1955246290
