,num
0,37696163
1,38712171
2,13434137
3,1864290419
4,13105260
5,1256156460
6,1153699096
7,1287396500
8,38712171
9,1269576099
10,11851700
11,13444912
12,16934117
13,1542639862
14,893312493
15,37818122
16,1335081152
17,1494501123
18,1538689173
19,1495760775
20,1371105645
21,13444899
22,1335081152
23,1495760775
24,1288889499
25,1958908459
26,53528594
27,16938848
28,1561987598
29,1158867039
30,197191696
31,1934499291
32,1254815919
33,1256723176
34,1572679688
35,1241448783
36,13444934
37,16938572
38,11848485
39,1070422566
40,1428696991
41,13175102
42,1144786194
43,16937473
44,1041892062
45,36924323
46,13444931
47,1828057801
48,1109562905
49,12070688
50,37696163
51,38712171
52,149286196
53,12803347
54,1400287180
55,674313725
56,1006860414
57,1030981622
58,13444925
59,1348027270
60,1754050518
61,1973455762
62,1815335933
63,38457033
64,34625104
65,35966195
66,1593906265
67,38694930
68,1908886290
69,1106650966
70,298952240
71,32800057
72,13476066
73,1335081152
74,1283193340
75,16939739
76,1160298368
77,1104182467
78,1389779272
79,1459619111
80,974355032
81,13476066
82,1261926527
83,1962097717
84,1657317041
85,36303949
86,1701635842
87,38510633
88,1084513855
89,483967513
90,37168364
91,411431817
92,37284744
93,1710131614
94,1119226617
95,1542886374
96,1213627713
97,16935043
98,37696163
99,1872273479
100,1495760775
101,1934499291
102,1784655737
103,1803462566
104,1339748332
105,38337932
106,1073612282
107,1912800819
108,1927206148
109,16939745
110,1796371780
111,1686406199
112,32528188
113,1711062873
114,385244477
115,1236843666
116,1072585450
117,1088302949
118,915315887
119,882119676
120,36399056
121,21285755
122,1109562905
123,35966195
124,1406062902
125,1796668169
126,1010879195
127,1363149859
128,1153977352
129,1168438136
130,1695950096
131,1015375771
132,1158786463
133,311432070
134,34061934
135,36476504
136,1149904865
137,16937419
138,1773164500
139,1580459120
140,13444921
141,1521611296
142,1712782556
143,1887087095
144,1122678287
145,32920631
146,37195357
147,16934593
148,37910157
149,1776286598
150,1335081152
151,1144786194
152,1670697103
153,1509674445
154,1572875876
155,35032583
156,1186706820
157,16934634
158,504332825
159,38554572
160,1514237484
161,13444913
162,34547311
163,36908954
164,13176911
165,1941275791
166,32725056
167,1189767071
168,1773607660
169,1377809951
170,1218708874
171,35734827
172,1796668169
173,1934499291
174,19991578
175,1632070510
176,1358130624
177,1190459594
178,17067760
179,1674068188
180,38705727
181,35194626
182,39330782
183,1251565619
184,1239112631
185,138132914
186,1818639509
187,17066026
188,1216826407
189,1226576841
190,1712536501
191,38446427
192,16939411
193,1992862659
194,1610658644
195,1070831520
196,1409441163
197,1827698364
198,1864659561
199,38652408
200,13476066
201,32042383
202,1215389801
203,1508454948
204,1401328661
205,16937588
206,1661887616
207,1369525893
208,1792247567
209,17066081
210,320808376
211,1862488387
212,34276505
213,1944183895
214,37301982
215,31664301
216,17067276
217,37840647
218,1150602570
219,38667773
220,1188736957
221,546379993
222,643699175
223,1019635971
224,542059315
225,1990887174
226,31387617
227,1976773101
228,1948561274
229,1128864213
230,1251055945
231,1591751825
232,16936436
233,37992044
234,1259064883
235,1105296201
236,1867093344
237,157521727
238,1585903086
239,13444930
240,16938943
241,1265830259
242,37451811
243,1395180680
244,1058403436
245,1767525911
246,16937461
247,1891550278
248,1658603824
249,1475699319
250,13140847
251,1786723401
252,16938979
253,1584396762
254,1555705631
255,37036149
256,601892265
257,1099997968
258,1780973176
259,33631178
260,1777602797
261,1955773694
262,1138364689
263,1981765562
264,1013246739
265,13206073
266,1754086501
267,1956663862
268,19893124
269,1627587816
270,1179766821
271,1802950804
272,37159321
273,21597562
274,651616234
275,1231261781
276,36646984
277,1325417364
278,1678494595
279,1074550526
280,1226220306
281,1722453435
282,16936633
283,1971869811
284,1635364986
285,1140683921
286,1659233055
287,1538577991
288,1438211631
289,1507924542
290,1302479633
291,1480746514
292,21442258
293,1331620490
294,1733437702
295,38710990
296,35955043
297,37573061
298,1036304412
299,1943850167
